gene	lr_abs_coef	hr	p
KCNK15	0.16340019188774071	0.9787585271118662	0.4143187092055305
CFB	0.16140425745376022	0.9462020342052835	0.05137417005085177
B4GALNT2	0.15985749301095323	1.0451624630935668	0.1240068848218404
CDCA7	0.15938373133943926	1.030286073235528	0.3133802264367609
SLC1A1	0.15928113768629729	0.9529038187870428	0.05771267250980209
IGFALS	0.15916613287708448	0.9433560513707073	0.030355050416114505
SLC28A3	0.15574599671317318	0.9635590195347932	0.12361740353435599
PCSK2	0.15507656044898638	1.0422339907266538	0.11313073980829275
SUSD3	0.1525289701185778	0.9357437650443461	0.017213716505349697
SLC27A2	0.14913479256749473	0.950893988316281	0.060079700095046616
DNAH11	0.1480064769601673	1.0312331725358939	0.2582539725620385
SYT1	0.14646902458448596	0.9641508083877165	0.0991171863291573
SCUBE2	0.14560788577870348	0.9674279921624103	0.10661026646839178
COCH	0.1441969320248189	0.95540212143216	0.08919361340505905
LOC100130148	0.14224356340702327	0.9292524161476544	0.00975125480175966
MLC1	0.1391419527120032	0.9674343147088613	0.2778754574651189
BEX1	0.13584012424568767	0.974756593797551	0.20430665691792374
KCNH1	0.13322178258828646	0.9700207039227048	0.25165061962311885
PCDHGB1	0.13058495360518232	1.05047790926804	0.09787265938815051
PXDNL	0.13024805898247435	1.0813294096145276	0.007010399646567336
KRT15	0.1279295166618828	0.9554962221884903	0.04388964994238073
SLC4A10	0.12658489223388578	0.9568943368625619	0.1344901330527394
HOXC13	0.12653902628799352	1.0545650933599666	0.05629148338050394
LOC100128977	0.1258368119915135	0.9211224417801959	0.0029730707201729083
GLYATL2	0.1213643817506837	1.0192338784814348	0.36250754080369607
CALML3	0.12058676636403524	0.9604731995188931	0.043626403152994764
FCRL3	0.11984433093891754	0.9465793099877213	0.06706434203623504
TCN1	0.11795601101286288	0.9604647198669637	0.031004134048268683
C1orf168	0.11497726809963088	0.9292388207218925	0.005715985753359457
CLIC6	0.11356539637686867	0.9489655248436564	0.009083309294930142
CST4	0.11159832126980038	0.97464184364627	0.2618842271446463
GSDMC	0.10809744136934196	1.0385703185716142	0.17436284806698427
C8orf84	0.10460921013848386	0.9423645833860922	0.04163642320460335
CYP4F11	0.09752660585754597	0.9490901118856402	0.0326507018712768
GPM6A	0.09731570863053395	0.9570954808470079	0.11960290974922419
IYD	0.0964350683466282	1.0556951063237592	0.026945524366969457
LRRN1	0.09066042858807657	0.9493827782013861	0.07600829977705562
CXCL9	0.08924136757451029	0.9625191906792369	0.1361805840543488
CASP14	0.084777981761921	1.0304515279350037	0.1312213120262572
PTPRZ1	0.08476823672187336	0.9611509652249856	0.08083508346217863
MGAM	0.08285278983551325	0.9509869268463994	0.057072991630822606
PHGR1	0.08127938240620476	0.9583627018984534	0.09763014137908327
SLC7A4	0.07386328637936591	0.9527721893866877	0.025136888040907066
TUBA3E	0.0713505722128768	0.9487877789389397	0.03150015681615027
LRP1B	0.06816469830528518	0.9508582137398898	0.0239641340170642
C2orf82	0.06583974886566554	0.9464748218000448	0.045301898664639295
PLIN5	0.06555341185512292	0.9605704855862076	0.1142797212436236
ACTL8	0.06436200900791254	1.0405893752817674	0.05847625820690943
DLGAP1	0.06221536012378351	0.9596280841160705	0.10860200555044384
SOX11	0.06003556095655296	1.032956847730285	0.20261262047610767
TAT	0.05884899813018321	0.9735516843685018	0.11834146224164005
IVL	0.05760409006648748	1.050465076331672	0.06160662215048214
WNK4	0.05741839532305256	0.9719926157933089	0.16488929887900627
LOC100271831	0.056523520133071416	0.979874489965077	0.3918098778527368
P2RY11	0.05214929819573564	0.9755129667452211	0.36233874101895935
TUBA3D	0.05037444644192053	0.9502307555185248	0.02470481824340413
LTB	0.049816484449757906	0.9383309731226595	0.028363057708200065
ZMYND10	0.04740334558303286	0.9526773226025558	0.08963152451614326
DAPL1	0.04453856367124497	0.9253713182403166	0.009151610312442516
SPINK8	0.04315552918446406	1.0572419629995937	0.03370414296292793
NXNL2	0.042894409806616095	0.9378201271638057	0.02576415579225562
DOK7	0.040525910601898585	0.9537874521196095	0.05760647735000451
ANXA8L2	0.03867647962895953	0.9600469652416072	0.08295894856088314
LOC728606	0.03819780079309652	0.9562957795499105	0.04286301914243072
KRT5	0.037664079649977894	0.9627442242070268	0.02656759324279589
