task	omics	feature	category_id	category
PAM50	miRNA	MIMAT0019221	5	Other
PAM50	miRNA	MIMAT0030021	5	Other
PAM50	miRNA	MIMAT0000752	5	Other
PAM50	miRNA	MIMAT0019814	0	Development/Epithelium
PAM50	miRNA	MIMAT0019739	5	Other
PAM50	miRNA	MIMAT0004507	4	Cell cycle/Proliferation
PAM50	miRNA	MIMAT0004609	5	Other
PAM50	miRNA	MIMAT0017950	5	Other
PAM50	miRNA	MIMAT0000646	3	Immune/Inflammation
PAM50	miRNA	MIMAT0022720	5	Other
PAM50	miRNA	MIMAT0000258	3	Immune/Inflammation
PAM50	miRNA	MIMAT0000231	0	Development/Epithelium
PAM50	miRNA	MIMAT0003214	5	Other
PAM50	miRNA	MIMAT0004497	5	Other
PAM50	miRNA	MIMAT0019037	5	Other
PAM50	miRNA	MIMAT0021030	5	Other
PAM50	miRNA	MIMAT0017352	5	Other
PAM50	miRNA	MIMAT0000755	5	Other
PAM50	miRNA	MIMAT0000454	5	Other
PAM50	miRNA	MIMAT0000686	4	Cell cycle/Proliferation
PAM50	miRNA	MIMAT0000264	0	Development/Epithelium
PAM50	miRNA	MIMAT0005920	5	Other
PAM50	miRNA	MIMAT0014987	5	Other
PAM50	miRNA	MIMAT0003887	5	Other
PAM50	miRNA	MIMAT0000434	3	Immune/Inflammation
PAM50	miRNA	MIMAT0003884	5	Other
PAM50	miRNA	MIMAT0005577	5	Other
PAM50	miRNA	MIMAT0005924	5	Other
PAM50	miRNA	MIMAT0002873	5	Other
PAM50	miRNA	MIMAT0004494	3	Immune/Inflammation
PAM50	miRNA	MIMAT0004514	1	Signaling/Transport
PAM50	miRNA	MIMAT0003301	2	Hormone/Metabolism
PAM50	miRNA	MIMAT0004502	5	Other
PAM50	miRNA	MIMAT0000425	2	Hormone/Metabolism
PAM50	miRNA	MIMAT0000243	2	Hormone/Metabolism
PAM50	miRNA	MIMAT0003257	5	Other
PAM50	miRNA	MIMAT0003886	5	Other
PAM50	miRNA	MIMAT0000617	0	Development/Epithelium
PAM50	miRNA	MIMAT0001536	0	Development/Epithelium
PAM50	miRNA	MIMAT0005794	5	Other
PAM50	miRNA	MIMAT0002821	3	Immune/Inflammation
PAM50	miRNA	MIMAT0003296	5	Other
PAM50	miRNA	MIMAT0026483	5	Other
PAM50	miRNA	MIMAT0003321	5	Other
PAM50	miRNA	MIMAT0004693	5	Other
PAM50	miRNA	MIMAT0019738	5	Other
PAM50	miRNA	MIMAT0004683	5	Other
PAM50	miRNA	MIMAT0019729	5	Other
PAM50	miRNA	MIMAT0004495	5	Other
PAM50	miRNA	MIMAT0026475	5	Other
PAM50	miRNA	MIMAT0004551	2	Hormone/Metabolism
PAM50	miRNA	MIMAT0002881	5	Other
PAM50	miRNA	MIMAT0004559	3	Immune/Inflammation
PAM50	miRNA	MIMAT0004805	5	Other
PAM50	miRNA	MIMAT0000094	5	Other
PAM50	miRNA	MIMAT0004950	5	Other
PAM50	miRNA	MIMAT0004558	3	Immune/Inflammation
PAM50	miRNA	MIMAT0018349	5	Other
