file_id	file_name	data_type	data_category	data_format	experimental_strategy	workflow_type	access	file_size	case_id	sample_id	sample_type	tissue_type
b96433cf-3bd5-491e-ba39-47f7e486c6db	TITER_p_TCGASNP_227_228_N_GenomeWideSNP_6_B04_1151406.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	41320	TCGA-E9-A3QA	TCGA-E9-A3QA-01A	Primary Tumor	Tumor
73c3f0ee-1fbb-44f1-9f59-796d1119a34d	GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	12819	TCGA-EW-A1PD	TCGA-EW-A1PD-01A	Primary Tumor	Tumor
e9c20e46-6f99-4e61-86bd-f3184d647711	COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A06_667128.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	4783	TCGA-AN-A0FN	TCGA-AN-A0FN-01A	Primary Tumor	Tumor
731564f2-d92e-4510-8858-99d815cf87ce	TCGA-BRCA.d8a0163f-045f-415c-a456-4ae0cf0e307e.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3445496	TCGA-E9-A3QA	TCGA-E9-A3QA-01A	Primary Tumor	Tumor
731564f2-d92e-4510-8858-99d815cf87ce	TCGA-BRCA.d8a0163f-045f-415c-a456-4ae0cf0e307e.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3445496	TCGA-E9-A3QA	TCGA-E9-A3QA-10A	Blood Derived Normal	Normal
27d0dfd6-f58e-4194-9638-295f6cbbcaad	TCGA-BRCA.fd45dc6f-bce7-4005-b1e7-be2b2b7dbbca.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT2	open	3446741	TCGA-AQ-A1H2	TCGA-AQ-A1H2-01A	Primary Tumor	Tumor
27d0dfd6-f58e-4194-9638-295f6cbbcaad	TCGA-BRCA.fd45dc6f-bce7-4005-b1e7-be2b2b7dbbca.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT2	open	3446741	TCGA-AQ-A1H2	TCGA-AQ-A1H2-10A	Blood Derived Normal	Normal
20bdbc53-f2de-4686-9eb7-44c625cd802e	RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F03_771916.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	53982	TCGA-AQ-A1H2	TCGA-AQ-A1H2-01A	Primary Tumor	Tumor
03e69205-90bf-411c-929d-74eb3dc3c449	TCGA-BRCA.9bd1f34e-2bf1-45d9-8553-9abc40c3c175.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3446109	TCGA-GM-A2DA	TCGA-GM-A2DA-10C	Blood Derived Normal	Normal
03e69205-90bf-411c-929d-74eb3dc3c449	TCGA-BRCA.9bd1f34e-2bf1-45d9-8553-9abc40c3c175.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3446109	TCGA-GM-A2DA	TCGA-GM-A2DA-01A	Primary Tumor	Tumor
702f42ba-59ac-420a-a79c-958ca0a2a197	TCGA-BRCA.9bd1f34e-2bf1-45d9-8553-9abc40c3c175.absolute_liftover.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ABSOLUTE LiftOver	open	3431810	TCGA-GM-A2DA	TCGA-GM-A2DA-01A	Primary Tumor	Tumor
e18b2106-1056-4f5e-b547-2b33d06fdae6	RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F03_771916.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	38444	TCGA-AQ-A1H2	TCGA-AQ-A1H2-01A	Primary Tumor	Tumor
ea0f7aa9-fe5b-42e5-90e1-6c58ff18e4eb	TCGA-BRCA.9bd1f34e-2bf1-45d9-8553-9abc40c3c175.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT2	open	3447435	TCGA-GM-A2DA	TCGA-GM-A2DA-10C	Blood Derived Normal	Normal
ea0f7aa9-fe5b-42e5-90e1-6c58ff18e4eb	TCGA-BRCA.9bd1f34e-2bf1-45d9-8553-9abc40c3c175.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT2	open	3447435	TCGA-GM-A2DA	TCGA-GM-A2DA-01A	Primary Tumor	Tumor
04cfe993-afde-4e40-9cb1-d9c2415b16b6	eb5a0c78-143b-416e-8e01-754f53041297.mirbase21.mirnas.quantification.txt	miRNA Expression Quantification	Transcriptome Profiling	TXT	miRNA-Seq	BCGSC miRNA Profiling	open	50193	TCGA-AN-A0XN	TCGA-AN-A0XN-01A	Primary Tumor	Tumor
