feature	jsd
MIMAT0002874	0.0409024310165684
MIMAT0001625	0.0408823967486877
MIMAT0000067	0.04067868999849222
MIMAT0019202	0.040489381597299395
MIMAT0019026	0.04047517242979275
MIMAT0000270	0.04042524732771149
MIMAT0022834	0.040422321078806375
MIMAT0000710	0.040422321078806375
MIMAT0019758	0.04014042792083222
MIMAT0004555	0.04007170840140569
MIMAT0000077	0.039900349423587805
MIMAT0011161	0.03975294620435653
MIMAT0015070	0.039729500916073225
MIMAT0000259	0.03963001635400887
MIMAT0027422	0.039628982888944536
MIMAT0000262	0.03945827756400239
MIMAT0003329	0.03943834969720511
MIMAT0001541	0.039299191930065924
MIMAT0000754	0.03929802527832255
MIMAT0027505	0.03928977338928564
MIMAT0022287	0.039055001109886606
MIMAT0004680	0.03893895886347139
MIMAT0022721	0.03892220151903038
MIMAT0026559	0.03891610674136973
MIMAT0022695	0.0389008928865214
MIMAT0018071	0.03884004673532999
MIMAT0004951	0.0387970175125155
MIMAT0000680	0.03876732294734629
MIMAT0006789	0.0387005203616936
MIMAT0019018	0.03853395871869893
MIMAT0004482	0.03842726021259492
MIMAT0000435	0.03830714737726609
MIMAT0004748	0.03826663592106731
MIMAT0022473	0.03825862999405614
MIMAT0000071	0.03821448572457657
MIMAT0019211	0.03821287204836048
MIMAT0000276	0.03813150831644455
MIMAT0004559	0.03807562049051101
MIMAT0019210	0.03799323143345488
MIMAT0027454	0.037946152272194
MIMAT0022833	0.0379409870837094
MIMAT0018073	0.03792467316737506
MIMAT0000730	0.037855479265154965
MIMAT0002852	0.03784478265632639
MIMAT0002857	0.03784478265632639
MIMAT0003161	0.03773717418118321
MIMAT0019808	0.03766018526049285
MIMAT0022697	0.037542267906053334
MIMAT0004920	0.037416683393171335
MIMAT0000073	0.03737008689556824
MIMAT0015069	0.03713990355289185
MIMAT0000091	0.037125986217037416
MIMAT0000441	0.03710489003908665
MIMAT0000272	0.037085270418486485
MIMAT0004491	0.037082598760253285
MIMAT0005929	0.03705140488496109
MIMAT0004952	0.0370023831326472
MIMAT0002814	0.036926545850753154
