feature	jsd
MIMAT0026738	0.15114228677286146
MIMAT0003329	0.15112932211229776
MIMAT0027587	0.1510917135921511
MIMAT0003306	0.15058757787519403
MIMAT0018961	0.1505509065260276
MIMAT0022692	0.14974041354508832
MIMAT0004699	0.14973634203329098
MIMAT0018962	0.14935946194155134
MIMAT0004700	0.14854046557428593
MIMAT0019201	0.14820882077187697
MIMAT0018102	0.14807924074070675
MIMAT0002819	0.14802577002549563
MIMAT0000269	0.1479498821751198
MIMAT0000461	0.14759871961443646
MIMAT0000261	0.14758932753558837
MIMAT0004567	0.1473363626660782
MIMAT0004487	0.1472211020149522
MIMAT0021017	0.14695688619396263
MIMAT0004956	0.14594211558945033
MIMAT0018068	0.14542187329402487
MIMAT0004702	0.14540940754199314
MIMAT0027565	0.1453458603107153
MIMAT0026557	0.14531917099533567
MIMAT0028222	0.1451045802834412
MIMAT0004602	0.1446071582660934
MIMAT0019696	0.14448252163796768
MIMAT0022292	0.144307920560817
MIMAT0000736	0.1442388277157585
MIMAT0017982	0.14419885500467697
MIMAT0027650	0.14400805194671298
MIMAT0017994	0.14364022662766088
MIMAT0019229	0.14355794472387204
MIMAT0004555	0.14304920686945047
MIMAT0003245	0.1427151825674796
MIMAT0004560	0.14221013511791122
MIMAT0004597	0.1419000477649148
MIMAT0004506	0.14122677886132645
MIMAT0021026	0.14114406620136233
MIMAT0001629	0.14114005134452556
MIMAT0010251	0.14111862967213784
MIMAT0018004	0.14089366445276744
MIMAT0000318	0.14080156434184563
MIMAT0005793	0.14075914367483322
MIMAT0002817	0.14002757037837635
MIMAT0000414	0.13992792201340412
MIMAT0000754	0.13989796307883914
MIMAT0019841	0.139417450964254
MIMAT0027517	0.13880699598659763
MIMAT0026477	0.1385965281773668
MIMAT0005792	0.13836876542088575
MIMAT0000703	0.13827885784427138
MIMAT0004505	0.13820890700759397
MIMAT0005919	0.1380211893509327
MIMAT0019760	0.1374000256835482
MIMAT0019731	0.13715556315790614
MIMAT0005875	0.13711444154646044
MIMAT0004809	0.1369684904572582
MIMAT0018083	0.13672469009758537
MIMAT0000076	0.13631215098657096
MIMAT0019823	0.1359518391218737
MIMAT0025451	0.13502536603032503
MIMAT0027589	0.13477778212826194
MIMAT0009451	0.13447723431207134
MIMAT0000062	0.1331715379255889
MIMAT0027486	0.13308296439645995
MIMAT0002174	0.1330560603370154
MIMAT0026720	0.13231336210360015
MIMAT0002171	0.1320819817353702
MIMAT0019954	0.13137714377630513
MIMAT0005903	0.13109796191442066
MIMAT0019822	0.13080888422839368
MIMAT0017992	0.13066354149721873
MIMAT0000082	0.1306193874407821
MIMAT0003309	0.1303557010600049
MIMAT0018356	0.13021857826858593
MIMAT0004978	0.13008791392761984
MIMAT0001080	0.12960462001071293
MIMAT0021044	0.12951336869164407
MIMAT0000419	0.1294820361504805
MIMAT0005930	0.1291220058493467
MIMAT0027604	0.1290860892742607
MIMAT0005584	0.12905618460775461
MIMAT0022708	0.12895777016470478
MIMAT0002818	0.12830612064340827
MIMAT0019219	0.12809288809471722
MIMAT0003235	0.12806142664868003
MIMAT0004588	0.12795516177867441
MIMAT0005892	0.12761887866983582
MIMAT0004657	0.12761214046515937
MIMAT0010195	0.12751162152712567
MIMAT0003161	0.12743001362910525
MIMAT0004808	0.12742921863495393
MIMAT0000068	0.12699417633984744
MIMAT0030020	0.12696346827754612
MIMAT0018204	0.12678657893989578
MIMAT0000255	0.12650182710975563
MIMAT0004593	0.12622478973957138
MIMAT0003266	0.12619231912768977
MIMAT0018360	0.1261915022738971
